question_uid,parliament,session,question_number,response_date,response_sitting_day,response_type,response_detail,response_details_full
42-1-2352,42,1,2352,2019-05-15,417,written,Sessional Paper No. 8555-421-2352,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2352)  — May 15, 2019"
42-1-2353,42,1,2353,2019-05-15,417,written,Sessional Paper No. 8555-421-2353,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2353)  — May 15, 2019"
42-1-2354,42,1,2354,2019-05-15,417,written,Sessional Paper No. 8555-421-2354,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2354)  — May 15, 2019"
42-1-2355,42,1,2355,2019-05-15,417,written,Sessional Paper No. 8555-421-2355,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2355)  — May 15, 2019"
42-1-2356,42,1,2356,2019-05-15,417,written,Sessional Paper No. 8555-421-2356,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2356)  — May 15, 2019"
42-1-2357,42,1,2357,2019-05-15,417,written,Sessional Paper No. 8555-421-2357,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2357)  — May 15, 2019"
42-1-2358,42,1,2358,2019-05-15,417,written,Sessional Paper No. 8555-421-2358,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2358)  — May 15, 2019"
42-1-2359,42,1,2359,2019-05-15,417,written,Sessional Paper No. 8555-421-2359,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2359)  — May 15, 2019"
42-1-2360,42,1,2360,2019-05-15,417,written,Sessional Paper No. 8555-421-2360,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2360)  — May 15, 2019"
42-1-2361,42,1,2361,2019-05-15,417,written,Sessional Paper No. 8555-421-2361,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2361)  — May 15, 2019"
